image_id,x1,y1,x2,y2
'6e831b2533328828.jpg',187,70,573,667
'c120c4f86b86e56b.jpg',298,167,578,433
'd9cee15f3f2b7953.jpg',378,154,510,333
'411def78dc4b5958.jpg',390,106,523,225
'c8aa50aec3bcc29f.jpg',272,176,403,380
'03fe1cda88f76e1b.jpg',324,33,441,249
'2bd28f161ef292a0.jpg',391,252,614,532
'cb72939d30abf610.jpg',419,147,735,565
'b41172973f83fba8.jpg',356,140,579,361
'fa7ef0c3bffad540.jpg',359,150,555,379
'a321f82547af4236.jpg',417,71,716,544
'803a4641377648ec.jpg',248,206,478,559
'c97a75e20befc576.jpg',338,123,453,376
'e8d8bc6fcd7db75e.jpg',601,94,749,289
'23945caa77dd9cdd.jpg',355,211,482,514
'698c6866c86bba33.jpg',243,200,457,439
'8a4c26b8a333d1f3.jpg',356,131,449,367
'5e9718124ce43576.jpg',494,171,623,298
'fe5d852bdae11858.jpg',245,335,420,606
'a8a8474b908ef5a4.jpg',96,61,348,538
'7fe2fbd201d8f301.jpg',221,235,511,480
'82bedc4e5366da6d.jpg',300,205,395,466
'e12746592daceb6b.jpg',265,262,363,480
'46b5e8ba3e3f1674.jpg',385,95,518,251
'2633905fdf43e90e.jpg',592,114,804,468
'845acdb0c7de3b0f.jpg',332,139,513,310
'224db15b804b1cc0.jpg',427,338,592,575
'b70e32ae8cc386de.jpg',279,233,611,651
'0de493e8620d5dee.jpg',408,218,558,452
'c45bb2f3d2ce33ef.jpg',400,81,670,427
'0b64e5f8e54fcb6a.jpg',424,187,631,577
'0369ba5f1ca089fd.jpg',356,156,432,346
'd128090acdfdb81a.jpg',288,131,410,430
'7ee86b19b3b5cf0d.jpg',118,62,489,415
'7e0f88cb5923b5aa.jpg',309,271,528,624
'e644622bdafc6970.jpg',482,236,675,480
'ba86c13bc5f29da0.jpg',449,125,741,475
'b4d67ba75eb948de.jpg',252,156,397,398
'b033ac258246ada0.jpg',351,84,568,421
'6b6f73576d546cff.jpg',396,137,573,295
'086e52440e08f448.jpg',289,86,727,595
'd47946cc248f34fe.jpg',557,147,732,340
'78a69e0389b575d3.jpg',269,200,377,485
'6ec24da0417c5e8f.jpg',336,256,500,435
'e8e4400a87d5b128.jpg',361,159,511,305
'5b097242df1cbad6.jpg',131,64,519,606
'08eb2407d7c88b7a.jpg',342,106,577,281
'73fc3c1c3fab3056.jpg',435,130,565,259
'eb25280411dd5f82.jpg',455,86,591,214
'c9ba71f6d0ba0496.jpg',358,213,483,449
'411c563428866ef6.jpg',149,11,711,674
'135839876b327579.jpg',525,148,700,402
'997b85d793a24da3.jpg',507,68,622,290
'328f36b3efc0b0c5.jpg',201,211,500,626
'769bafd4c32f8757.jpg',209,360,457,562
'34d1ccf191955c7d.jpg',275,215,403,448
'eb4583fc059aeebc.jpg',392,46,631,432
'fb99336a7c4b8a75.jpg',321,129,420,348
'cfbac2a67f7e114a.jpg',494,98,728,325
'cd31422ba729a5ce.jpg',212,138,320,302
'41cf4b6ce9059577.jpg',372,188,550,392
'83facc2c1d0e798b.jpg',308,192,426,461
'67dcf9e201d8992c.jpg',93,98,575,807
'0361982104d8758a.jpg',124,254,285,605
'ccd801dbc470b7d6.jpg',207,180,369,373
'80d3843275f76918.jpg',227,44,536,508
'c34b93c57db9f3ce.jpg',398,137,572,345
'81debde554f818f7.jpg',480,401,670,635
