image_id,x1,y1,x2,y2
'6e831b2533328828.jpg',182,62,551,645
'c120c4f86b86e56b.jpg',332,95,601,475
'd9cee15f3f2b7953.jpg',385,221,496,468
'411def78dc4b5958.jpg',275,82,435,215
'c8aa50aec3bcc29f.jpg',127,29,577,695
'03fe1cda88f76e1b.jpg',277,56,427,390
'2bd28f161ef292a0.jpg',456,265,634,472
'cb72939d30abf610.jpg',410,153,748,559
'b41172973f83fba8.jpg',381,105,533,330
'fa7ef0c3bffad540.jpg',298,45,673,420
'a321f82547af4236.jpg',412,46,767,568
'803a4641377648ec.jpg',296,194,477,570
'c97a75e20befc576.jpg',327,108,396,353
'e8d8bc6fcd7db75e.jpg',621,48,768,258
'23945caa77dd9cdd.jpg',312,77,502,468
'698c6866c86bba33.jpg',262,194,472,411
'8a4c26b8a333d1f3.jpg',322,104,412,426
'5e9718124ce43576.jpg',464,52,630,242
'fe5d852bdae11858.jpg',268,304,435,614
'a8a8474b908ef5a4.jpg',121,50,377,565
'7fe2fbd201d8f301.jpg',267,232,498,437
'82bedc4e5366da6d.jpg',276,197,367,536
'e12746592daceb6b.jpg',366,249,460,603
'46b5e8ba3e3f1674.jpg',407,80,531,265
'2633905fdf43e90e.jpg',573,65,823,510
'845acdb0c7de3b0f.jpg',265,49,413,224
'224db15b804b1cc0.jpg',489,322,634,582
'b70e32ae8cc386de.jpg',509,189,708,564
'0de493e8620d5dee.jpg',390,84,571,434
'c45bb2f3d2ce33ef.jpg',418,106,640,456
'0b64e5f8e54fcb6a.jpg',404,145,588,507
'0369ba5f1ca089fd.jpg',330,205,432,519
'd128090acdfdb81a.jpg',365,272,479,670
'7ee86b19b3b5cf0d.jpg',176,29,503,476
'7e0f88cb5923b5aa.jpg',338,247,556,635
'e644622bdafc6970.jpg',424,62,571,285
'ba86c13bc5f29da0.jpg',393,130,731,548
'b4d67ba75eb948de.jpg',230,134,349,511
'b033ac258246ada0.jpg',376,89,578,372
'6b6f73576d546cff.jpg',424,165,578,386
'086e52440e08f448.jpg',345,136,629,630
