image_id,x1,y1,x2,y2
'6e831b2533328828.jpg',167,64,587,687
'c120c4f86b86e56b.jpg',303,78,598,510
'd9cee15f3f2b7953.jpg',340,168,632,598
'411def78dc4b5958.jpg',394,100,521,263
'c8aa50aec3bcc29f.jpg',253,163,507,480
'03fe1cda88f76e1b.jpg',258,133,460,410
'2bd28f161ef292a0.jpg',423,218,635,461
'cb72939d30abf610.jpg',381,109,749,571
'b41172973f83fba8.jpg',325,97,657,388
'fa7ef0c3bffad540.jpg',289,83,670,495
'a321f82547af4236.jpg',412,61,705,543
'803a4641377648ec.jpg',277,223,474,547
'c97a75e20befc576.jpg',290,111,462,433
'e8d8bc6fcd7db75e.jpg',542,56,705,244
'23945caa77dd9cdd.jpg',308,207,474,464
'698c6866c86bba33.jpg',262,189,486,420
'8a4c26b8a333d1f3.jpg',229,219,422,585
'5e9718124ce43576.jpg',379,125,679,386
'fe5d852bdae11858.jpg',244,284,425,619
'a8a8474b908ef5a4.jpg',84,65,371,576
'7fe2fbd201d8f301.jpg',252,211,516,454
'82bedc4e5366da6d.jpg',232,260,444,577
'e12746592daceb6b.jpg',293,259,483,632
'46b5e8ba3e3f1674.jpg',402,102,653,380
'2633905fdf43e90e.jpg',540,121,815,500
'845acdb0c7de3b0f.jpg',193,51,381,218
'224db15b804b1cc0.jpg',435,316,619,574
'b70e32ae8cc386de.jpg',340,181,677,650
'0de493e8620d5dee.jpg',339,188,634,609
'c45bb2f3d2ce33ef.jpg',416,48,644,452
'0b64e5f8e54fcb6a.jpg',292,176,572,618
'0369ba5f1ca089fd.jpg',237,146,496,690
'd128090acdfdb81a.jpg',258,57,410,362
'7ee86b19b3b5cf0d.jpg',149,54,480,479
'7e0f88cb5923b5aa.jpg',309,227,544,626
'e644622bdafc6970.jpg',370,174,633,470
'ba86c13bc5f29da0.jpg',469,120,711,416
'b4d67ba75eb948de.jpg',203,161,480,604
'b033ac258246ada0.jpg',351,125,538,405
'6b6f73576d546cff.jpg',368,149,678,408
'086e52440e08f448.jpg',331,128,642,486
'd47946cc248f34fe.jpg',605,112,752,331
'78a69e0389b575d3.jpg',278,180,468,518
'6ec24da0417c5e8f.jpg',276,162,566,472
'e8e4400a87d5b128.jpg',342,151,622,391
'5b097242df1cbad6.jpg',176,48,534,580
'08eb2407d7c88b7a.jpg',350,109,722,353
'73fc3c1c3fab3056.jpg',354,145,623,365
'eb25280411dd5f82.jpg',369,133,630,372
'c9ba71f6d0ba0496.jpg',263,196,448,513
'411c563428866ef6.jpg',172,-1,691,616
'135839876b327579.jpg',517,114,697,384
'997b85d793a24da3.jpg',296,197,580,597
'328f36b3efc0b0c5.jpg',218,161,522,640
'769bafd4c32f8757.jpg',213,247,464,484
'34d1ccf191955c7d.jpg',283,194,429,482
'eb4583fc059aeebc.jpg',394,48,680,371
'fb99336a7c4b8a75.jpg',272,163,424,396
'cfbac2a67f7e114a.jpg',399,122,708,438
'cd31422ba729a5ce.jpg',231,173,410,389
'41cf4b6ce9059577.jpg',357,156,650,463
'83facc2c1d0e798b.jpg',271,187,456,478
'67dcf9e201d8992c.jpg',128,92,591,796
